family	harness	tier	expected	outcome	wall_s	timeout_s	verdict	log
geo-cmp	ext::proofs_ext::eq_circle_contained_hslice	unmeasured	unmeasured	unmeasured-green	341	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext__proofs_ext__eq_circle_contained_hslice_.log
geo-cmp	ext::proofs_ext::eq_lseg_lt_hslice	unmeasured	unmeasured	unmeasured-green	391	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext__proofs_ext__eq_lseg_lt_hslice_.log
geo-cmp	ext2::proofs_ext2::eq_point_div_pow2plane	unmeasured	unmeasured	unmeasured-green	542	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext2__proofs_ext2__eq_point_div_pow2plane_.log
geo-cmp	ext2::proofs_ext2::eq_on_sl_dplane	unmeasured	unmeasured	unmeasured-timeout	601	600	NO-VERDICT	geo-cmp--ext2__proofs_ext2__eq_on_sl_dplane_.log
geo-cmp	ext::proofs_ext::eq_circle_distance_hslice	unmeasured	unmeasured	unmeasured-green	511	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext__proofs_ext__eq_circle_distance_hslice_.log
geo-cmp	ext::proofs_ext::eq_lseg_gt_hslice	unmeasured	unmeasured	unmeasured-green	542	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext__proofs_ext__eq_lseg_gt_hslice_.log
geo-cmp	ext3::proofs_ext3::eq_poly_same_n2	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	geo-cmp--ext3__proofs_ext3__eq_poly_same_n2_.log
geo-cmp	ext3::proofs_ext3::eq_poly_same_n3	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	geo-cmp--ext3__proofs_ext3__eq_poly_same_n3_.log
geo-cmp	ext::proofs_ext::eq_lseg_le_hslice	unmeasured	unmeasured	unmeasured-green	542	600	VERIFICATION:- SUCCESSFUL	geo-cmp--ext__proofs_ext__eq_lseg_le_hslice_.log
geo-cmp	ext::proofs_ext::eq_lseg_ge_hslice	unmeasured	unmeasured	unmeasured-timeout	602	600	NO-VERDICT	geo-cmp--ext__proofs_ext__eq_lseg_ge_hslice_.log
